station,termin,prestas0,tre200s0,rre150z0,fkl010z1,ua2200s0,ta1200s0,ta2200s0,ra1150z0,ua1200s0,fkl010z0,dkl010z0,gor000z0,uor200s0,da1010z0,fa1010z0,pa1stas0,ycoml1s0,ycomirs0
10769,20210803000000,661.60,4.00,None,None,None,None,None,None,None,2.20,286.00,0.00,89.60,None,None,None,None,1.00
10769,20210803010000,661.60,3.20,None,None,None,None,None,None,None,2.20,229.00,0.00,88.70,None,None,None,None,1.00
10769,20210803020000,661.90,3.80,None,None,None,None,None,None,None,1.60,105.00,0.00,82.20,None,None,None,None,1.00
10769,20210803030000,662.10,2.80,None,None,None,None,None,None,None,1.80,152.00,0.00,81.00,None,None,None,None,1.00
10769,20210803040000,662.50,3.30,None,None,None,None,None,None,None,2.20,135.00,71.00,80.80,None,None,None,None,1.00
10769,20210803050000,663.30,8.20,None,None,None,None,None,None,None,1.30,135.00,264.00,62.90,None,None,None,None,1.00
10769,20210803060000,663.70,9.20,None,None,None,None,None,None,None,2.40,30.00,501.00,65.50,None,None,None,None,1.00
10769,20210803070000,663.70,10.10,None,None,None,None,None,None,None,5.80,24.00,651.00,63.80,None,None,None,None,1.00
10769,20210803080000,663.80,9.00,None,None,None,None,None,None,None,3.60,314.00,576.00,80.00,None,None,None,None,1.00
10769,20210803090000,663.70,7.90,None,None,None,None,None,None,None,2.40,270.00,503.00,84.80,None,None,None,None,1.00
10769,20210803100000,663.50,10.00,None,None,None,None,None,None,None,5.30,10.00,858.00,76.20,None,None,None,None,1.00
10769,20210803110000,663.20,9.10,None,None,None,None,None,None,None,4.80,360.00,278.00,78.60,None,None,None,None,1.00
10769,20210803120000,662.80,8.10,None,None,None,None,None,None,None,4.20,5.00,209.00,81.80,None,None,None,None,1.00
10769,20210803130000,662.50,8.10,None,None,None,None,None,None,None,6.00,22.00,173.00,84.90,None,None,None,None,1.00
10769,20210803140000,662.40,9.10,None,None,None,None,None,None,None,3.60,351.00,398.00,83.40,None,None,None,None,1.00
10769,20210803150000,662.60,6.30,None,None,None,None,None,None,None,2.70,28.00,18.00,94.80,None,None,None,None,1.00
10769,20210803160000,662.80,5.90,None,None,None,None,None,None,None,1.10,330.00,0.00,95.70,None,None,None,None,1.00
10769,20210803170000,663.00,5.10,None,None,None,None,None,None,None,0.70,60.00,0.00,96.00,None,None,None,None,1.00
10769,20210803180000,663.00,2.10,None,None,None,None,None,None,None,2.10,153.00,0.00,96.10,None,None,None,None,1.00
10769,20210803190000,663.30,4.10,None,None,None,None,None,None,None,0.90,192.00,0.00,75.20,None,None,None,None,1.00
10769,20210803200000,663.50,3.50,None,None,None,None,None,None,None,2.90,207.00,0.00,83.00,None,None,None,None,1.00
10769,20210803210000,663.10,4.00,None,None,None,None,None,None,None,1.00,273.00,0.00,76.00,None,None,None,None,1.00
10769,20210803220000,662.80,4.70,None,None,None,None,None,None,None,0.00,0.00,0.00,77.00,None,None,None,None,1.00
10769,20210803230000,662.20,3.20,None,None,None,None,None,None,None,2.70,137.00,0.00,75.60,None,None,None,None,1.00
10769,20210804000000,662.00,3.50,None,None,None,None,None,None,None,3.30,129.00,0.00,75.90,None,None,None,None,1.00
10769,20210804010000,662.50,3.10,None,None,None,None,None,None,None,3.90,134.00,0.00,78.00,None,None,None,None,1.00
10769,20210804020000,662.60,3.60,None,None,None,None,None,None,None,4.60,118.00,0.00,78.50,None,None,None,None,1.00
10769,20210804030000,663.00,3.40,None,None,None,None,None,None,None,5.10,118.00,0.00,77.60,None,None,None,None,1.00
10769,20210804040000,663.40,3.90,None,None,None,None,None,None,None,5.30,115.00,48.00,80.70,None,None,None,None,1.00
10769,20210804050000,663.80,7.90,None,None,None,None,None,None,None,3.80,99.00,279.00,71.50,None,None,None,None,1.00
10769,20210804060000,664.30,8.20,None,None,None,None,None,None,None,5.50,27.00,499.00,75.20,None,None,None,None,1.00
10769,20210804070000,664.40,9.30,None,None,None,None,None,None,None,5.40,51.00,636.00,73.20,None,None,None,None,1.00
10769,20210804080000,664.50,8.40,None,None,None,None,None,None,None,6.40,19.00,632.00,82.00,None,None,None,None,1.00
10769,20210804090000,664.30,9.10,None,None,None,None,None,None,None,6.50,4.00,570.00,80.50,None,None,None,None,1.00
10769,20210804100000,664.20,9.30,None,None,None,None,None,None,None,5.20,31.00,664.00,80.90,None,None,None,None,1.00
10769,20210804110000,663.80,8.70,None,None,None,None,None,None,None,6.50,329.00,359.00,85.90,None,None,None,None,1.00
10769,20210804120000,663.30,9.50,None,None,None,None,None,None,None,4.60,352.00,683.00,82.00,None,None,None,None,1.00
10769,20210804130000,663.00,9.40,None,None,None,None,None,None,None,4.80,352.00,627.00,76.30,None,None,None,None,1.00
10769,20210804140000,663.00,7.70,None,None,None,None,None,None,None,3.80,342.00,183.00,83.60,None,None,None,None,1.00
10769,20210804150000,662.90,8.30,None,None,None,None,None,None,None,1.40,41.00,215.00,82.70,None,None,None,None,1.00
10769,20210804160000,662.90,4.40,None,None,None,None,None,None,None,0.80,121.00,0.00,94.70,None,None,None,None,1.00
10769,20210804170000,663.10,4.60,None,None,None,None,None,None,None,4.70,142.00,0.00,70.30,None,None,None,None,1.00
10769,20210804180000,663.30,4.80,None,None,None,None,None,None,None,5.40,133.00,0.00,64.40,None,None,None,None,1.00
10769,20210804190000,663.40,5.30,None,None,None,None,None,None,None,7.30,122.00,0.00,58.40,None,None,None,None,1.00
10769,20210804200000,663.30,5.90,None,None,None,None,None,None,None,7.90,131.00,0.00,55.50,None,None,None,None,1.00
10769,20210804210000,663.00,5.70,None,None,None,None,None,None,None,7.20,130.00,0.00,57.40,None,None,None,None,1.00
10769,20210804220000,662.60,5.20,None,None,None,None,None,None,None,6.90,124.00,0.00,59.80,None,None,None,None,1.00
10769,20210804230000,662.20,5.30,None,None,None,None,None,None,None,7.80,129.00,0.00,59.20,None,None,None,None,1.00
10769,20210805000000,661.80,5.10,None,None,None,None,None,None,None,8.70,134.00,0.00,56.30,None,None,None,None,1.00
10769,20210805010000,661.70,5.00,None,None,None,None,None,None,None,8.40,128.00,0.00,55.30,None,None,None,None,1.00
10769,20210805020000,661.80,4.40,None,None,None,None,None,None,None,8.00,127.00,0.00,57.00,None,None,None,None,1.00
10769,20210805030000,662.30,4.30,None,None,None,None,None,None,None,6.90,130.00,0.00,58.60,None,None,None,None,1.00
10769,20210805040000,662.60,4.60,None,None,None,None,None,None,None,7.80,120.00,68.00,60.70,None,None,None,None,1.00
10769,20210805050000,663.20,7.80,None,None,None,None,None,None,None,6.00,96.00,284.00,55.00,None,None,None,None,1.00
10769,20210805060000,663.70,8.20,None,None,None,None,None,None,None,3.80,29.00,518.00,76.00,None,None,None,None,1.00
10769,20210805070000,664.00,9.60,None,None,None,None,None,None,None,3.20,330.00,735.00,74.30,None,None,None,None,1.00
10769,20210819130000,659.40,5.90,None,None,None,None,None,None,None,2.60,291.00,91.00,95.50,None,None,None,None,1.00
10769,20210819140000,659.30,6.90,None,None,None,None,None,None,None,2.10,356.00,172.00,92.30,None,None,None,None,1.00
10769,20210819150000,659.30,6.80,None,None,None,None,None,None,None,1.20,7.00,63.00,91.10,None,None,None,None,1.00
10769,20210819160000,659.40,5.40,None,None,None,None,None,None,None,2.70,334.00,0.00,96.80,None,None,None,None,1.00
10769,20210819170000,659.50,3.80,None,None,None,None,None,None,None,3.30,201.00,0.00,96.20,None,None,None,None,1.00
10769,20210819180000,659.80,4.50,None,None,None,None,None,None,None,2.30,267.00,0.00,82.70,None,None,None,None,1.00
10769,20210819190000,660.10,3.90,None,None,None,None,None,None,None,3.60,246.00,0.00,84.30,None,None,None,None,1.00
10769,20210819200000,660.10,4.00,None,None,None,None,None,None,None,4.00,233.00,0.00,83.90,None,None,None,None,1.00
10769,20210819210000,659.90,3.80,None,None,None,None,None,None,None,4.70,220.00,0.00,84.20,None,None,None,None,1.00
10769,20210819220000,659.60,4.80,None,None,None,None,None,None,None,3.60,227.00,0.00,77.80,None,None,None,None,1.00
10769,20210819230000,659.20,4.50,None,None,None,None,None,None,None,2.90,251.00,0.00,82.30,None,None,None,None,1.00
10769,20210820000000,659.20,5.10,None,None,None,None,None,None,None,1.30,232.00,0.00,77.20,None,None,None,None,1.00
10769,20210820010000,659.40,3.70,None,None,None,None,None,None,None,3.40,218.00,0.00,85.60,None,None,None,None,1.00
10769,20210820020000,659.70,4.40,None,None,None,None,None,None,None,2.30,252.00,0.00,87.90,None,None,None,None,1.00
10769,20210820030000,659.90,4.70,None,None,None,None,None,None,None,2.60,235.00,0.00,87.80,None,None,None,None,1.00
10769,20210820040000,660.10,4.90,None,None,None,None,None,None,None,2.20,288.00,38.00,84.80,None,None,None,None,1.00
10769,20210820050000,660.80,5.80,None,None,None,None,None,None,None,3.40,295.00,182.00,90.90,None,None,None,None,1.00
10769,20210820060000,661.50,6.20,None,None,None,None,None,None,None,3.10,311.00,170.00,93.30,None,None,None,None,1.00
10769,20210820070000,661.80,6.80,None,None,None,None,None,None,None,2.50,295.00,498.00,91.20,None,None,None,None,1.00
10769,20210820080000,661.90,8.50,None,None,None,None,None,None,None,4.10,290.00,722.00,80.50,None,None,None,None,1.00
10769,20210820090000,661.70,5.90,None,None,None,None,None,None,None,2.70,352.00,205.00,96.70,None,None,None,None,1.00
10769,20210820100000,661.10,6.70,None,None,None,None,None,None,None,3.10,51.00,178.00,86.90,None,None,None,None,1.00
10769,20210820110000,660.40,7.70,None,None,None,None,None,None,None,5.20,21.00,258.00,84.70,None,None,None,None,1.00
10769,20210820120000,660.10,6.80,None,None,None,None,None,None,None,1.90,20.00,154.00,93.00,None,None,None,None,1.00
10769,20210820130000,659.90,7.80,None,None,None,None,None,None,None,1.20,274.00,121.00,84.80,None,None,None,None,1.00
10769,20210820140000,659.70,5.80,None,None,None,None,None,None,None,2.60,251.00,55.00,96.00,None,None,None,None,1.00
10769,20210820150000,659.80,6.20,None,None,None,None,None,None,None,1.40,205.00,65.00,91.90,None,None,None,None,1.00
10769,20210820160000,659.80,4.80,None,None,None,None,None,None,None,2.00,223.00,0.00,86.90,None,None,None,None,1.00
10769,20210820170000,660.00,2.90,None,None,None,None,None,None,None,1.40,135.00,0.00,85.70,None,None,None,None,1.00
10769,20210820180000,660.70,4.20,None,None,None,None,None,None,None,1.20,262.00,0.00,86.10,None,None,None,None,1.00
10769,20210820190000,661.00,3.40,None,None,None,None,None,None,None,3.00,183.00,0.00,87.30,None,None,None,None,1.00
10769,20210820200000,661.10,4.40,None,None,None,None,None,None,None,1.00,226.00,0.00,79.50,None,None,None,None,1.00
10769,20210820210000,660.50,3.30,None,None,None,None,None,None,None,10.30,149.00,0.00,58.30,None,None,None,None,1.00
10769,20210820220000,660.20,3.60,None,None,None,None,None,None,None,6.40,142.00,0.00,47.70,None,None,None,None,1.00
10769,20210820230000,659.80,2.50,None,None,None,None,None,None,None,0.00,0.00,0.00,48.60,None,None,None,None,1.00
10769,20210821000000,659.50,3.60,None,None,None,None,None,None,None,1.60,185.00,0.00,55.10,None,None,None,None,1.00
10769,20210821010000,659.50,3.00,None,None,None,None,None,None,None,1.50,191.00,0.00,49.80,None,None,None,None,1.00
10769,20210821020000,659.70,2.30,None,None,None,None,None,None,None,1.70,146.00,0.00,68.70,None,None,None,None,1.00
10769,20210821030000,659.90,4.00,None,None,None,None,None,None,None,0.80,331.00,0.00,69.80,None,None,None,None,1.00
10769,20210821040000,660.40,5.10,None,None,None,None,None,None,None,0.40,186.00,98.00,68.30,None,None,None,None,1.00
10769,20210821050000,661.10,7.10,None,None,None,None,None,None,None,0.50,227.00,239.00,69.20,None,None,None,None,1.00
10769,20210821060000,661.50,6.70,None,None,None,None,None,None,None,2.70,357.00,245.00,85.60,None,None,None,None,1.00
10769,20210821070000,661.70,6.60,None,None,None,None,None,None,None,3.40,1.00,275.00,89.30,None,None,None,None,1.00
10769,20210821080000,661.80,7.30,None,None,None,None,None,None,None,2.60,3.00,379.00,83.10,None,None,None,None,1.00
10769,20210821090000,661.50,7.30,None,None,None,None,None,None,None,6.10,2.00,305.00,89.60,None,None,None,None,1.00
