12:33:08   14.08.2022              Programm Climap                 MeteoSchweiz
Zeitangaben in UTC 0040 (UTC)  =  01:40 Uhr Winterzeit  =  02:40 Uhr Sommerzeit
Auswahlperiode: 01.01.2020 00:00  -  31.12.2020 23:50 UTC 32767 -> Keine Angabe
Anzahl Stationen  1
  10769	Mont Kenya              3678 m.ü.M.	     0/      0
Anzahl Parameter  6
    90  Luftdruck auf Barometerhöhe (QFE); Momentanwert  [hPa]
    91  Lufttemperatur 2 m über Boden; Momentanwert  [°C]
   196  Windgeschwindigkeit skalar; Zehnminutenmittel  [m/s]
   197  Windrichtung; Zehnminutenmittel  [°]
   321  Original Luftfeuchtigkeit 2 m über Boden; Momentanwert  [%]
   285  Original Globalstrahlung; Zehnminutenmittel  [W/m²]

  STA JAHR MO TG HH MM    90    91   196   197   321   285
10769 2020  1  2  5 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  5 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  5 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  5 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  6  0 661.8   7.2  10.0   120  69.6   580 
10769 2020  1  2  6 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  6 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  6 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  6 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  6 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  7  0 662.0   8.7   7.7   116  64.8   772 
10769 2020  1  2  7 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  7 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  7 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  7 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  7 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  8  0 661.9   8.5   6.9    70  67.4   749 
10769 2020  1  2  8 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  8 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  8 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  8 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  8 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  9  0 661.4  10.3   7.7    94  57.2  1075 
10769 2020  1  2  9 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  9 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  9 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  9 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2  9 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 10  0 661.3  11.9   8.2   106  52.5  1101 
10769 2020  1  2 10 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 10 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 10 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 10 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 10 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 11  0 660.9  11.6   4.9    78  54.0  1097 
10769 2020  1  2 11 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 11 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 11 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 11 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 11 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 12  0 660.6   8.7   1.9     3  82.5   218 
10769 2020  1  2 12 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 12 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 12 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 12 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 12 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 13  0 660.6  10.0   3.8    79  65.3   289 
10769 2020  1  2 13 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 13 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 13 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 13 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 13 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 14  0 660.9   7.8   2.7    13  88.6    45 
10769 2020  1  2 14 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 14 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 14 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 14 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 14 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 15  0 661.2   6.9   0.7   338  94.9    18 
10769 2020  1  2 15 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 15 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 15 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 15 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 15 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 16  0 661.5   4.8   5.1   136  80.8     0 
10769 2020  1  2 16 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 16 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 16 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 16 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 16 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 17  0 661.9   4.1   7.0   161  73.7     0 
10769 2020  1  2 17 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 17 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 17 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 17 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 17 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 18  0 661.9   4.9   7.5   127  73.3     0 
10769 2020  1  2 18 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 18 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 18 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 18 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 18 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 19  0 661.8   4.7   6.4   134  77.6     0 
10769 2020  1  2 19 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 19 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 19 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 19 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 19 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 20  0 661.4   4.9   9.3   132  85.1     0 
10769 2020  1  2 20 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 20 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 20 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 20 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 20 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 21  0 661.5   4.9   9.1   127  88.9     0 
10769 2020  1  2 21 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 21 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 21 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 21 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 21 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 22  0 661.4   4.4   6.9   115  90.5     0 
10769 2020  1  2 22 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 22 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 22 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 22 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 22 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 23  0 661.2   4.3   7.1   110  93.1     0 
10769 2020  1  2 23 10 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 23 20 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 23 30 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 23 40 32767 32767 32767 32767 32767 32767 
10769 2020  1  2 23 50 32767 32767 32767 32767 32767 32767 
10769 2020  1  3  0  0 660.8   4.5   6.5   113  95.9     0 
10769 2020  1  3  0 10 32767 32767 32767 32767 32767 32767 
